accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PXD004754,5,15,Identification of novel natural substrates of fibroblast activation protein by differential degradomics and proteomics,PARTIAL,2016-08-10,2018-12-19,https://www.ebi.ac.uk/pride/archive/projects/PXD004754
PXD004953,5,8,Proteomic Analysis by iTRAQ-MRM of Soybean Resistance to Lamprosema Indicate,PARTIAL,2016-09-13,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD004953
PXD005253,5,10,FOXA1 directs H3K4 monomethylation at enhancers via recruitment of the methyltransferase MLL3,PARTIAL,2016-11-02,2016-12-12,https://www.ebi.ac.uk/pride/archive/projects/PXD005253
PXD005267,5,10,Quantitative Proteomics analysis of Plasmodium vivax induced alterations in human serum during the acute and convalescent phases of infection,PARTIAL,2016-11-04,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005267
PXD005411,5,11,Mouse glycoproteome: Brain -  pGlyco 2,PARTIAL,2016-11-21,2017-10-11,https://www.ebi.ac.uk/pride/archive/projects/PXD005411
PXD005412,5,11,Mouse glycoproteome: Kidney -  pGlyco 2,PARTIAL,2016-11-21,2017-10-12,https://www.ebi.ac.uk/pride/archive/projects/PXD005412
PXD005413,5,11,Mouse glycoproteome: Heart -  pGlyco 2,PARTIAL,2016-11-21,2017-09-11,https://www.ebi.ac.uk/pride/archive/projects/PXD005413
PXD005422,5,14,Methylated-antibody affinity purification to improve proteomic identification of plant RNA polymerase Pol V complex and the interacting proteins,PARTIAL,2016-12-04,2017-02-28,https://www.ebi.ac.uk/pride/archive/projects/PXD005422
PXD005428,5,15,Proteolytic processing of CD99,PARTIAL,2016-11-23,2017-01-02,https://www.ebi.ac.uk/pride/archive/projects/PXD005428
PXD005482,5,10,Analysis of Trpc6 Phosphorylation in HEK293T cells,PARTIAL,2016-12-01,2017-08-23,https://www.ebi.ac.uk/pride/archive/projects/PXD005482
PXD005500,5,8,Orthogonal ubiquitin transfer identifies ubiquitination substrates under differential control by the two ubiquitin enzymes,PARTIAL,2016-12-05,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005500
PXD005509,5,19,Phase separation of C9orf72 dipeptide repeats perturbs stress granule metabolism,PARTIAL,2016-12-06,2017-04-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005509
PXD005553,5,11,Mouse glycoproteome -  pGlyco 2,PARTIAL,2016-12-13,2017-10-11,https://www.ebi.ac.uk/pride/archive/projects/PXD005553
PXD005555,5,11,Mouse glycoproteome -  pGlyco 2,PARTIAL,2016-12-13,2017-10-11,https://www.ebi.ac.uk/pride/archive/projects/PXD005555
PXD005584,5,17,Identifying the Ubiquitination Targets of E6AP by Orthogonal Ubiquitin Transfer,PARTIAL,2016-12-16,2018-02-07,https://www.ebi.ac.uk/pride/archive/projects/PXD005584
PXD005657,5,11,Direct evidence of the presence of cross-linked Aβ dimers in the brains of Alzheimer’s disease patients,PARTIAL,2017-12-04,2021-05-13,https://www.ebi.ac.uk/pride/archive/projects/PXD005657
PXD006145,5,14,The sheep host fecal proteome -  The Sarda Sheep Host Fecal Proteome,PARTIAL,2017-09-20,2018-01-15,https://www.ebi.ac.uk/pride/archive/projects/PXD006145
PXD006199,5,10,R2TP_SILAC_FLAG-MS -  R2TP/Prefoldin-like component RUVBL1/RUVBL2 directly interacts with ZNHIT2 to regulate assembly of U5 small nuclear ribonucleoprotein,PARTIAL,2017-03-29,2017-11-02,https://www.ebi.ac.uk/pride/archive/projects/PXD006199
PXD006527,5,25,A thiol probe for measuring unfolded protein load and proteostasis in cells,COMPLETE,2017-05-16,2018-10-24,https://www.ebi.ac.uk/pride/archive/projects/PXD006527
PXD006541,5,7,LC-MSMS of cell secretome for MAP1LC3B interactors,PARTIAL,2017-05-18,2022-03-01,https://www.ebi.ac.uk/pride/archive/projects/PXD006541
PXD006877,5,12,Haloferax volcanii SILAC study of Oxidative stress,PARTIAL,2017-07-06,2018-01-09,https://www.ebi.ac.uk/pride/archive/projects/PXD006877
PXD006912,5,8,Escherichia coli msbB-deficient mutant extracellular vesicle proteome,PARTIAL,2017-07-10,2018-11-22,https://www.ebi.ac.uk/pride/archive/projects/PXD006912
PXD007734,5,15,Protein analysis from mandibular glands of termites,PARTIAL,2017-09-13,2019-04-25,https://www.ebi.ac.uk/pride/archive/projects/PXD007734
PXD007800,5,10,Cytosolic protein Vms1 links ribosome quality control to mitochondrial and cellular homeostasis,PARTIAL,2017-09-20,2017-10-27,https://www.ebi.ac.uk/pride/archive/projects/PXD007800
PXD007852,5,6,Analysis of the Salivary Gland Transcriptome of Unfed and Partially Fed Amblyomma sculptum Ticks and Descriptive Proteome of the Saliva,PARTIAL,2017-09-27,2018-10-23,https://www.ebi.ac.uk/pride/archive/projects/PXD007852
PXD008257,5,15,Vaccination agaisnt intracellular pathogen for aquaculture,PARTIAL,2017-11-21,2017-12-08,https://www.ebi.ac.uk/pride/archive/projects/PXD008257
PXD008510,5,8,Triatoma dimidiata salivary glands LC-MSMS,PARTIAL,2017-12-20,2018-01-04,https://www.ebi.ac.uk/pride/archive/projects/PXD008510
PXD008681,5,13,Human HeLa cells LC MS/MSLC-MSMS,PARTIAL,2018-01-15,2022-03-04,https://www.ebi.ac.uk/pride/archive/projects/PXD008681
PXD008782,5,9,"Open-pFind enables precise, comprehensive and rapid peptide identification in shotgun proteomics, part 1",PARTIAL,2018-05-31,2018-07-11,https://www.ebi.ac.uk/pride/archive/projects/PXD008782
PXD008833,5,6,Zc3h10 is a novel mitochondrial regulator,PARTIAL,2018-02-01,2018-03-06,https://www.ebi.ac.uk/pride/archive/projects/PXD008833
PXD008978,5,8,Online Weak Cation Exchange-HILIC × Reversed Phase LC UVPD-HRMS of intact HeLa Histones,PARTIAL,2018-03-01,2018-09-19,https://www.ebi.ac.uk/pride/archive/projects/PXD008978
